index,categorie_hdv,category_philo_y,category_educ_y,category_body,category_gen
263,3,2,2,4,4
264,2,1,1,3,2
265,3,4,0,3,0
266,5,3,2,4,4
267,1,1,3,3,2
268,0,1,5,0,2
269,3,1,5,2,1
270,3,1,0,1,1
271,3,0,0,2,0
272,3,2,2,4,4
273,0,1,0,0,0
274,0,1,0,3,0
275,3,1,1,4,1
276,0,1,5,2,2
277,3,1,1,3,1
278,3,4,1,3,1
279,0,1,5,1,2
280,0,1,0,1,0
281,5,2,2,4,4
282,3,1,1,1,1
283,3,2,2,4,4
284,3,0,5,0,1
285,3,2,2,4,4
286,3,0,5,2,1
287,1,2,2,4,4
288,3,1,5,0,1
289,0,5,5,1,2
290,5,3,0,1,0
291,0,1,0,1,0
292,1,1,0,1,0
293,3,1,1,3,1
294,3,1,5,1,1
295,0,2,2,4,4
296,0,2,2,3,4
297,0,1,3,1,2
298,1,2,2,4,4
299,3,1,1,0,1
300,3,2,2,1,4
301,2,1,1,0,2
302,3,0,1,3,1
303,3,1,0,3,1
304,3,4,0,1,0
305,0,1,3,1,2
306,0,3,0,0,0
307,3,1,1,3,1
308,5,0,1,5,2
309,3,1,3,3,1
310,3,2,2,4,4
311,0,1,0,2,0
312,3,1,0,3,1
313,1,0,0,0,0
314,0,2,2,3,4
315,3,4,1,5,1
316,3,2,2,1,4
317,1,0,5,0,2
318,3,2,2,4,4
319,3,1,1,4,1
320,3,2,2,4,4
321,1,0,1,1,2
322,1,3,4,5,3
323,3,2,2,4,4
324,3,2,2,3,4
325,0,1,3,3,2
326,1,1,0,1,0
327,3,4,1,0,1
328,3,2,2,4,4
329,0,2,2,3,4
330,0,2,2,4,4
331,3,1,1,2,1
332,2,5,5,1,3
333,3,3,4,1,3
334,3,4,3,2,1
335,2,2,2,4,4
336,0,5,4,2,3
337,3,4,1,3,1
338,3,3,3,3,1
339,3,0,3,5,1
340,1,1,0,1,0
341,3,1,3,1,1
342,0,4,3,2,2
343,3,4,0,3,0
344,3,5,4,5,3
345,2,3,1,1,2
346,0,1,5,3,2
347,3,5,4,5,3
348,0,2,2,3,4
349,3,2,2,4,4
350,3,3,1,3,1
351,3,1,0,5,1
352,3,3,1,1,1
353,3,4,4,5,3
354,3,1,1,0,1
355,0,1,5,3,2
356,1,1,0,1,0
357,3,1,1,0,1
358,3,2,2,4,4
359,2,0,0,1,0
360,1,0,5,0,2
361,3,0,0,5,0
362,3,1,3,5,1
363,0,5,4,1,3
364,3,1,5,1,1
365,0,1,1,4,2
366,0,2,2,3,4
367,3,1,1,5,1
368,0,1,0,2,0
369,0,0,3,0,2
370,0,1,3,1,2
371,3,5,4,0,3
372,4,1,1,4,2
373,0,1,5,2,2
374,2,1,0,5,0
375,2,1,0,5,0
376,3,5,4,5,3
377,2,1,1,4,2
378,3,2,2,3,4
379,0,0,0,1,0
380,0,1,5,1,2
381,0,1,4,3,2
382,3,1,0,5,1
383,1,2,2,1,4
384,3,0,4,1,3
385,0,2,2,3,4
386,1,1,0,1,0
387,3,2,2,3,4
388,2,4,5,5,2
389,0,1,4,3,2
390,4,2,2,3,4
391,0,3,1,5,2
392,3,4,1,0,1
393,3,1,1,1,1
394,3,0,3,3,1
395,3,2,2,3,4
396,3,1,1,1,1
397,1,0,1,1,2
398,0,2,2,3,4
399,0,2,2,3,4
400,0,1,5,1,2
401,2,1,0,1,0
402,3,5,4,1,3
403,3,2,2,2,4
404,1,2,2,4,4
405,3,4,1,0,1
406,3,5,4,0,3
407,1,1,0,5,0
408,0,0,0,2,0
409,3,1,0,1,1
410,0,1,3,1,2
411,0,4,1,4,2
412,3,0,5,1,1
413,0,5,4,1,3
414,5,2,2,4,4
415,0,2,2,4,4
416,0,1,1,3,2
417,3,4,1,3,1
418,0,2,2,3,4
419,1,1,0,2,0
420,3,4,0,5,0
421,3,2,2,2,4
422,3,1,1,4,1
423,3,1,1,2,1
424,0,3,0,5,0
425,1,1,0,5,0
426,0,1,5,2,2
427,0,1,5,5,2
428,0,1,0,1,0
429,0,5,4,0,3
430,3,1,0,1,1
431,0,4,0,3,0
432,3,3,0,2,0
433,1,1,4,5,3
434,0,3,2,4,4
435,3,1,0,0,1
436,3,2,2,1,4
437,0,0,0,3,0
438,0,1,3,1,2
439,3,0,1,4,1
440,0,1,0,1,0
441,0,5,4,2,3
442,2,4,1,4,2
443,3,2,2,3,4
444,0,1,1,4,2
445,3,0,5,5,1
446,5,1,0,5,0
447,0,1,0,2,0
448,2,1,5,1,2
449,3,2,2,3,4
450,3,2,2,4,4
451,0,1,1,0,2
452,3,4,0,2,0
453,1,1,1,3,2
454,3,1,0,3,1
455,0,4,3,3,2
456,0,1,5,1,2
457,0,4,3,3,2
458,4,0,3,3,2
459,3,3,0,1,0
460,3,3,4,0,3
461,3,1,1,3,1
462,0,1,0,3,0
463,2,2,2,4,4
464,3,5,5,3,1
465,2,1,1,4,2
466,3,5,4,0,3
467,3,3,0,0,0
468,5,4,0,3,0
469,3,4,0,0,0
470,0,1,5,5,2
471,4,0,1,3,2
472,1,2,2,3,4
473,2,4,0,1,0
474,3,0,1,3,1
475,3,4,1,3,1
476,3,1,1,3,1
477,2,5,5,1,3
478,3,1,3,1,1
479,1,0,3,3,2
480,3,0,1,4,1
481,0,1,0,1,0
482,0,1,5,5,2
483,3,0,0,0,0
484,0,5,4,1,3
485,2,0,5,0,2
486,0,3,0,5,0
487,3,1,0,2,1
488,3,1,0,5,1
489,3,2,2,4,4
490,0,5,4,2,3
491,3,5,4,5,3
492,1,5,4,2,3
493,3,2,2,3,4
494,0,4,4,1,3
495,3,0,3,2,1
496,0,2,2,3,4
497,0,1,0,5,0
498,3,1,0,3,1
499,0,1,5,2,2
500,0,1,5,1,2
501,0,0,0,2,0
502,3,0,3,1,1
503,3,1,1,0,1
504,3,5,4,1,3
505,0,1,5,1,2
506,3,0,0,3,0
507,1,4,0,5,0
508,0,2,2,4,4
509,0,1,1,3,2
510,0,5,4,1,3
511,0,0,0,1,0
512,2,4,1,4,2
513,3,4,3,1,1
514,0,1,0,5,0
515,3,2,2,2,4
516,3,1,0,1,1
517,0,4,3,2,2
518,2,0,1,5,2
519,2,0,3,5,2
520,3,0,3,4,1
521,0,0,3,4,2
522,0,0,5,1,2
523,3,4,0,1,0
524,3,0,0,5,0
525,0,4,3,3,2
526,0,1,1,1,2
527,3,1,0,3,1
528,3,1,1,4,1
529,3,2,2,1,4
530,3,0,0,5,0
531,3,1,4,0,1
532,3,3,1,1,1
533,0,0,0,1,0
534,1,5,4,5,3
535,3,2,2,4,4
536,2,1,5,5,2
537,3,1,3,2,1
538,3,1,5,5,1
539,0,2,2,3,4
540,0,1,5,5,2
541,5,1,5,4,2
542,3,3,2,3,4
543,3,1,1,3,1
544,4,5,5,0,3
545,3,5,5,1,3
546,2,4,0,1,0
547,2,1,5,5,2
548,4,1,0,0,0
549,2,5,4,5,3
550,0,1,1,5,2
551,0,1,0,1,0
552,3,2,2,1,4
553,0,5,4,5,3
554,1,1,5,3,2
555,3,2,2,2,4
556,3,0,1,0,1
557,3,3,1,4,1
558,5,0,3,0,2
559,3,0,0,0,0
560,1,3,5,5,2
561,1,5,4,1,3
562,3,1,3,2,1
563,2,1,1,4,2
564,3,3,1,3,1
565,3,2,2,3,4
566,0,2,2,4,4
567,3,0,0,5,0
568,3,5,4,1,3
569,0,1,5,5,2
570,3,1,0,5,1
571,3,1,1,2,1
572,0,4,0,0,0
573,0,2,2,4,4
574,2,4,0,3,0
575,0,2,2,3,4
576,2,4,3,5,2
577,1,1,1,4,2
578,0,0,3,1,2
579,0,2,2,4,4
580,2,3,3,1,2
581,3,5,4,5,3
582,3,1,3,1,1
583,3,2,2,4,4
584,0,2,2,4,4
585,3,2,2,4,4
586,3,5,4,5,3
587,3,4,0,0,0
588,0,1,5,2,2
589,0,0,0,5,0
590,1,2,2,4,4
591,3,2,2,1,4
592,3,1,0,3,1
593,3,2,2,4,4
594,3,1,0,0,1
595,0,2,2,3,4
596,0,1,0,3,0
597,3,0,3,0,1
598,3,2,2,4,4
599,0,1,3,5,2
600,1,1,0,3,0
601,3,0,1,3,1
602,3,2,2,4,4
603,3,2,2,4,4
604,1,1,1,3,2
605,3,0,0,0,0
606,3,2,2,4,4
607,3,1,3,1,1
608,0,1,0,3,0
609,3,2,2,4,4
610,1,2,2,3,4
611,3,0,1,5,1
612,3,1,3,1,1
613,2,4,0,5,0
614,5,2,2,4,4
615,3,2,2,4,4
616,2,3,0,5,0
617,3,1,5,5,1
618,0,1,0,2,0
619,0,1,5,1,2
620,3,0,0,3,0
621,0,1,5,1,2
622,3,1,1,4,1
623,0,4,0,5,0
624,2,0,0,5,0
625,0,4,3,3,2
626,3,4,1,3,1
627,3,1,1,1,1
628,3,1,3,0,1
629,0,5,4,1,3
630,0,2,2,3,4
631,3,1,0,5,1
632,2,1,0,1,0
633,0,5,4,5,3
634,2,3,0,5,0
635,3,0,1,5,1
636,5,2,2,4,4
637,5,4,1,3,2
638,2,0,0,5,0
639,0,4,0,0,0
640,3,5,4,5,3
641,3,5,4,1,3
642,3,3,4,3,3
643,1,0,4,1,3
644,2,0,3,3,2
645,3,5,4,2,3
646,0,1,0,1,0
647,3,0,3,0,1
648,0,5,4,1,3
649,3,1,1,3,1
650,0,1,0,1,0
651,0,1,0,1,0
652,3,0,0,5,0
653,1,0,0,5,0
654,3,1,3,3,1
655,0,1,0,5,0
656,0,4,1,1,2
657,0,5,4,2,3
658,0,1,3,3,2
659,0,2,2,4,4
660,3,1,3,3,1
661,3,1,1,4,1
662,3,4,0,1,0
663,3,4,0,5,0
664,0,1,0,2,0
665,3,4,0,1,0
666,3,1,1,2,1
667,3,2,2,3,4
668,3,1,1,3,1
669,0,3,3,3,2
670,3,1,0,5,1
671,1,1,3,3,2
672,0,1,0,3,0
673,2,3,3,4,2
674,5,2,2,4,4
675,3,4,5,5,1
676,0,5,4,1,3
677,2,0,1,3,2
678,1,3,0,2,0
679,3,1,0,0,1
680,3,0,1,0,1
681,3,0,0,5,0
682,0,1,5,1,2
683,3,1,0,2,1
684,3,2,2,4,4
685,3,4,0,1,0
686,3,0,0,3,0
687,3,4,1,1,1
688,3,0,3,1,1
689,3,4,0,5,0
690,3,2,2,3,4
691,3,4,0,1,0
692,3,0,4,5,3
693,3,1,0,3,1
694,3,1,5,5,1
695,0,1,5,2,2
696,3,1,1,4,1
697,0,5,4,5,3
698,2,5,5,5,3
699,3,1,1,2,1
700,1,5,4,2,3
701,2,3,0,5,0
702,2,1,1,0,2
703,2,3,0,5,0
704,0,4,1,5,2
705,5,1,0,1,0
706,0,5,4,0,3
707,3,2,2,3,4
708,3,4,0,5,0
709,0,4,0,1,0
710,0,1,5,1,2
711,2,3,1,4,2
712,0,1,5,2,2
713,3,1,1,4,1
714,3,1,5,1,1
715,1,5,4,1,3
716,3,1,1,4,1
717,0,1,1,3,2
718,0,1,1,0,2
719,1,1,0,5,0
720,2,1,5,5,2
721,3,1,1,3,1
722,3,0,3,2,1
723,2,1,4,5,3
724,1,4,1,3,2
725,3,1,4,3,1
726,2,0,1,3,2
727,3,0,5,1,1
728,0,1,5,3,2
729,0,1,1,4,2
730,3,1,3,5,1
731,0,0,0,1,0
732,3,4,4,0,3
733,1,1,1,4,2
734,0,4,0,3,0
735,1,1,5,0,2
736,2,0,0,5,0
737,3,1,1,1,1
738,1,5,4,1,3
739,3,5,4,5,3
740,0,5,4,5,3
741,3,3,5,4,1
742,0,4,5,5,2
743,0,2,2,1,4
744,3,3,1,0,1
745,3,4,4,1,3
746,0,3,1,3,2
747,0,1,0,2,0
748,2,1,3,4,2
749,3,2,2,4,4
750,3,1,3,3,1
751,0,1,5,1,2
752,0,1,5,5,2
753,3,3,1,0,1
754,0,3,3,5,2
755,3,1,3,1,1
756,0,4,4,5,3
757,0,4,0,1,0
758,0,1,0,1,0
759,1,0,3,4,2
760,3,1,0,5,1
761,0,1,0,3,0
762,1,4,5,1,2
763,0,4,0,5,0
764,3,5,4,5,3
765,0,0,0,5,0
766,4,0,1,5,2
767,0,1,3,0,2
768,3,4,1,2,1
769,3,1,3,3,1
770,0,1,3,5,2
771,1,0,5,3,2
772,5,5,4,1,3
773,0,0,1,3,2
774,2,5,4,1,3
775,2,3,5,1,2
776,3,5,4,5,3
777,2,0,0,5,0
778,1,4,0,3,0
779,3,3,0,5,0
780,3,1,3,1,1
781,0,4,1,0,2
782,3,1,5,5,1
783,3,1,0,1,1
784,3,1,1,3,1
785,2,1,0,5,0
786,3,2,2,4,4
787,3,0,5,0,1
788,3,0,5,1,1
789,3,1,1,4,1
790,2,2,2,4,4
791,3,5,4,5,3
792,0,0,0,5,0
793,0,2,2,4,4
794,0,3,4,5,3
795,0,1,0,1,0
796,0,1,3,5,2
797,0,1,0,5,0
798,1,3,4,3,3
799,3,4,1,2,1
800,4,1,0,1,0
801,1,5,4,1,3
802,1,2,2,2,4
803,0,5,5,1,2
804,0,5,4,5,3
805,0,4,1,3,2
806,3,1,1,5,1
807,0,2,2,3,4
808,0,2,2,3,4
809,3,2,2,3,4
810,0,0,3,3,2
811,3,0,0,3,0
812,0,1,3,3,2
813,3,1,0,5,1
814,1,1,4,5,3
815,0,1,0,0,0
816,0,5,4,5,3
817,3,4,1,4,1
818,0,2,2,1,4
819,3,0,0,3,0
820,0,1,3,1,2
821,1,0,0,1,0
822,1,0,1,3,2
823,3,4,0,5,0
824,3,1,3,5,1
825,0,4,1,5,2
826,2,5,4,5,3
827,0,1,3,3,2
828,2,5,5,5,3
829,0,1,3,1,2
830,3,1,3,5,1
831,2,5,4,5,3
832,1,4,0,5,0
833,3,1,0,2,1
834,3,0,0,2,0
835,0,2,2,2,4
836,3,5,4,2,3
837,2,3,5,5,2
838,4,0,0,0,0
839,3,4,1,3,1
840,3,5,4,1,3
841,0,0,1,3,2
842,3,3,5,1,1
843,0,1,0,5,0
844,3,1,1,4,1
845,3,1,0,1,1
846,3,0,3,3,1
847,3,2,2,3,4
848,3,2,2,4,4
849,0,4,1,4,2
850,3,0,0,0,0
851,0,1,0,2,0
852,0,1,0,1,0
853,0,1,4,1,2
854,3,1,5,5,1
855,3,0,1,4,1
856,3,1,5,5,1
857,0,4,1,3,2
858,2,0,0,5,0
859,0,1,3,3,2
860,3,0,1,0,1
861,0,4,0,5,0
862,0,1,3,1,2
863,0,1,0,5,0
864,1,4,0,5,0
865,3,1,0,2,1
866,3,1,0,3,1
867,3,1,0,3,1
868,3,1,1,3,1
869,1,3,0,5,0
870,5,1,0,1,0
871,1,5,3,2,2
872,2,0,0,5,0
873,0,5,4,1,3
874,0,5,5,1,2
875,3,5,4,5,3
876,3,0,3,1,1
877,1,0,0,1,0
878,0,1,0,5,0
879,3,4,0,5,0
880,5,1,5,5,2
881,0,4,3,5,2
882,1,5,4,0,3
883,1,5,4,5,3
884,3,1,3,1,1
885,3,1,5,3,1
886,1,1,0,1,0
887,3,1,0,2,1
888,3,2,2,2,4
889,0,1,1,3,2
890,0,5,4,1,3
891,0,1,0,1,0
892,2,1,0,2,0
893,3,4,0,0,0
894,2,0,0,0,0
895,3,4,0,1,0
896,0,1,0,3,0
897,0,5,4,0,3
898,3,1,0,0,1
899,0,3,3,0,2
900,3,5,4,0,3
901,1,5,4,0,3
902,0,0,3,1,2
903,3,0,0,3,0
904,3,1,0,5,1
905,5,1,3,0,2
906,5,1,5,5,2
907,0,3,5,0,2
908,3,1,0,0,1
909,3,5,4,3,3
910,3,2,2,4,4
911,0,2,2,3,4
912,3,1,3,2,1
913,1,1,3,3,2
914,3,0,1,4,1
915,3,0,1,4,1
916,4,0,5,3,2
917,0,3,3,2,2
918,0,0,0,3,0
919,4,5,4,0,3
920,2,4,3,4,2
921,2,0,5,5,2
922,3,1,0,5,1
923,0,3,1,1,2
924,1,3,5,0,2
925,0,1,5,5,2
926,4,0,5,1,2
927,0,1,3,3,2
928,0,1,5,3,2
929,2,0,3,5,2
930,0,5,4,5,3
931,3,1,0,0,1
932,1,1,0,2,0
933,3,1,3,2,1
934,3,3,3,0,1
935,3,1,1,4,1
936,3,1,0,5,1
937,1,5,4,5,3
938,3,1,0,0,1
939,0,1,5,5,2
940,0,1,3,0,2
941,0,1,5,5,2
942,2,0,0,5,0
943,3,3,1,2,1
944,2,0,0,1,0
945,3,1,3,0,1
946,0,0,3,1,2
947,3,1,1,4,1
948,3,1,5,5,1
949,0,0,5,1,2
950,3,1,0,5,1
951,0,1,0,2,0
952,2,1,0,5,0
953,2,5,4,5,3
954,0,3,3,1,2
955,0,1,5,5,2
956,3,1,3,2,1
957,1,1,0,3,0
958,1,5,4,2,3
959,3,5,4,2,3
960,0,0,1,0,2
961,3,4,3,5,1
962,0,5,5,5,2
963,0,5,3,5,2
964,0,1,1,1,2
965,0,1,3,2,2
966,2,1,0,5,0
967,1,0,0,1,0
968,3,1,1,3,1
969,3,3,4,0,3
970,2,5,4,0,3
971,0,1,3,5,2
972,0,1,0,5,0
973,3,0,1,4,1
974,3,1,0,5,1
975,0,5,4,3,3
976,0,1,5,5,2
977,3,0,4,0,3
978,0,3,1,1,2
979,1,4,0,2,0
980,3,1,1,3,1
981,5,3,4,5,3
982,0,1,0,1,0
983,3,5,4,1,3
984,3,4,0,0,0
985,3,1,0,3,1
986,3,1,0,5,1
987,1,5,4,3,3
988,0,0,3,1,2
989,1,5,4,0,3
990,3,0,4,3,1
991,3,1,0,0,1
992,3,5,4,0,3
993,0,1,5,1,2
994,5,1,0,1,0
995,3,3,0,1,0
996,3,3,1,4,1
997,1,1,5,2,2
998,3,0,1,3,1
999,0,0,1,3,2
